product_id,product_level,qa_family,band,asset_relative_path,declared_resolution_m,asset_kind,asset_status,band_specific
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,QUALIT,B12,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,QUALIT,B08A,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,CLASSI,,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B01,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B02,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B03,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B04,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B05,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B06,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B07,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B08,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B09,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B10,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B11,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B12,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DETFOO,B08A,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_CLDPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_SNWPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009214_20170328T102018/QI_DATA/MSK_SNWPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,SCL,,GRANULE/L2A_T33UVB_A009214_20170328T102018/IMG_DATA/R20m/T33UVB_20170328T102021_SCL_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,SCL,,GRANULE/L2A_T33UVB_A009214_20170328T102018/IMG_DATA/R60m/T33UVB_20170328T102021_SCL_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B01,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B02,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B03,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B04,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B05,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B06,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B07,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B08,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B09,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B10,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B11,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B12,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,QUALIT,B08A,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,CLASSI,,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B01,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B02,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B03,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B04,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B05,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B06,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B07,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B08,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B09,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B10,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B11,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B12,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DETFOO,B08A,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_CLDPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_SNWPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009257_20170331T103340/QI_DATA/MSK_SNWPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,SCL,,GRANULE/L2A_T33UVB_A009257_20170331T103340/IMG_DATA/R20m/T33UVB_20170331T103021_SCL_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,SCL,,GRANULE/L2A_T33UVB_A009257_20170331T103340/IMG_DATA/R60m/T33UVB_20170331T103021_SCL_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B01,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B02,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B03,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B04,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B05,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B06,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B07,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B08,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B09,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B10,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B11,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B12,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,QUALIT,B08A,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,CLASSI,,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B01,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B02,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B03,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B04,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B05,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B06,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B07,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B08,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B09,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B10,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B11,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B12,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DETFOO,B08A,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_CLDPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_SNWPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,SNWPRB,,GRANULE/L2A_T33UVB_A009357_20170407T102343/QI_DATA/MSK_SNWPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,SCL,,GRANULE/L2A_T33UVB_A009357_20170407T102343/IMG_DATA/R20m/T33UVB_20170407T102021_SCL_20m.jp2,20,raster,present,False
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,SCL,,GRANULE/L2A_T33UVB_A009357_20170407T102343/IMG_DATA/R60m/T33UVB_20170407T102021_SCL_60m.jp2,60,raster,present,False
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B01,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B02,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B03,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B04,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B05,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B06,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B07,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B08,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B09,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B10,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B11,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B12,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,QUALIT,B08A,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,CLASSI,,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B01,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B02,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B03,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B04,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B05,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B06,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B07,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B08,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B09,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B10,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B11,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B12,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DETFOO,B08A,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,CLDPRB,,GRANULE/L2A_T33UVB_A009400_20170410T103020/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
