date,year,scl_gate_pass,scl_gate_rule_id,l2a_representative_status,l1c_pairing_status,failure_reason,product_level,product_id,sensing_datetime,platform,tile,orbit,processing_baseline,generation_time,native_qa_incomplete,quantification_value,product_metadata_relative_path,radiometry_processing_baseline,radiometry_processing_baseline_source,radiometry_offset_expected_for_baseline,B4_band_id,B4_band_id_source,B4_add_offset,B4_offset_source,B4_conversion_rule,B4_product_central_wavelength_nm,B5_band_id,B5_band_id_source,B5_add_offset,B5_offset_source,B5_conversion_rule,B5_product_central_wavelength_nm,B6_band_id,B6_band_id_source,B6_add_offset,B6_offset_source,B6_conversion_rule,B6_product_central_wavelength_nm,target_grid_crs,target_grid_transform_a,target_grid_transform_b,target_grid_transform_c,target_grid_transform_d,target_grid_transform_e,target_grid_transform_f,target_grid_width,target_grid_height,target_grid_pixel_size_x,target_grid_pixel_size_y,station_row,station_col,station_inside_raster,B4_asset_relative_path,B4_native_pixel_size_m,B4_grid_alignment,B4_reflectance_nonfinite_count,B4_reflectance_below_range_count,B4_reflectance_above_range_count,B4_reflectance_mean_diagnostic,B5_asset_relative_path,B5_native_pixel_size_m,B5_grid_alignment,B5_reflectance_nonfinite_count,B5_reflectance_below_range_count,B5_reflectance_above_range_count,B5_reflectance_mean_diagnostic,B6_asset_relative_path,B6_native_pixel_size_m,B6_grid_alignment,B6_reflectance_nonfinite_count,B6_reflectance_below_range_count,B6_reflectance_above_range_count,B6_reflectance_mean_diagnostic,qa_qualit_b04_asset_relative_path,qa_qualit_b04_grid_alignment,qa_qualit_b04_native_pixel_size_m,qa_qualit_b05_asset_relative_path,qa_qualit_b05_grid_alignment,qa_qualit_b05_native_pixel_size_m,qa_qualit_b06_asset_relative_path,qa_qualit_b06_grid_alignment,qa_qualit_b06_native_pixel_size_m,qa_family_qualit_status,qa_classi_product_asset_relative_path,qa_classi_product_grid_alignment,qa_classi_product_native_pixel_size_m,qa_family_classi_status,scl_asset_relative_path,scl_grid_alignment,scl_native_pixel_size_m,scl_water_pixel_count,native_qa_incomplete_families,qa_B04_ancillary_degraded,qa_B04_ancillary_degraded_fraction,qa_B04_ancillary_degraded_band,qa_B04_ancillary_lost,qa_B04_ancillary_lost_fraction,qa_B04_ancillary_lost_band,qa_B04_defective,qa_B04_defective_fraction,qa_B04_defective_band,qa_B04_msi_degraded,qa_B04_msi_degraded_fraction,qa_B04_msi_degraded_band,qa_B04_msi_lost,qa_B04_msi_lost_fraction,qa_B04_msi_lost_band,qa_B04_nodata,qa_B04_nodata_fraction,qa_B04_nodata_band,qa_B04_partially_corrected,qa_B04_partially_corrected_fraction,qa_B04_partially_corrected_band,qa_B04_saturated,qa_B04_saturated_fraction,qa_B04_saturated_band,qa_B05_ancillary_degraded,qa_B05_ancillary_degraded_fraction,qa_B05_ancillary_degraded_band,qa_B05_ancillary_lost,qa_B05_ancillary_lost_fraction,qa_B05_ancillary_lost_band,qa_B05_defective,qa_B05_defective_fraction,qa_B05_defective_band,qa_B05_msi_degraded,qa_B05_msi_degraded_fraction,qa_B05_msi_degraded_band,qa_B05_msi_lost,qa_B05_msi_lost_fraction,qa_B05_msi_lost_band,qa_B05_nodata,qa_B05_nodata_fraction,qa_B05_nodata_band,qa_B05_partially_corrected,qa_B05_partially_corrected_fraction,qa_B05_partially_corrected_band,qa_B05_saturated,qa_B05_saturated_fraction,qa_B05_saturated_band,qa_B06_ancillary_degraded,qa_B06_ancillary_degraded_fraction,qa_B06_ancillary_degraded_band,qa_B06_ancillary_lost,qa_B06_ancillary_lost_fraction,qa_B06_ancillary_lost_band,qa_B06_defective,qa_B06_defective_fraction,qa_B06_defective_band,qa_B06_msi_degraded,qa_B06_msi_degraded_fraction,qa_B06_msi_degraded_band,qa_B06_msi_lost,qa_B06_msi_lost_fraction,qa_B06_msi_lost_band,qa_B06_nodata,qa_B06_nodata_fraction,qa_B06_nodata_band,qa_B06_partially_corrected,qa_B06_partially_corrected_fraction,qa_B06_partially_corrected_band,qa_B06_saturated,qa_B06_saturated_fraction,qa_B06_saturated_band,qa_cirrus,qa_cirrus_fraction,qa_opaque_cloud,qa_opaque_cloud_fraction,qa_scl_not_water,qa_scl_not_water_fraction,qa_snow_ice,qa_snow_ice_fraction,qa_ancillary_degraded,qa_ancillary_degraded_fraction,qa_ancillary_lost,qa_ancillary_lost_fraction,qa_defective,qa_defective_fraction,qa_msi_degraded,qa_msi_degraded_fraction,qa_msi_lost,qa_msi_lost_fraction,qa_nodata,qa_nodata_fraction,qa_partially_corrected,qa_partially_corrected_fraction,qa_saturated,qa_saturated_fraction,B4_valid_count,B5_valid_count,B6_valid_count,common_B456_valid_count,mci_baseline_coefficient,NDCI_valid_pixel_count,NDCI_valid_pixel_fraction,NDCI_median,NDCI_mean,NDCI_SD,NDCI_IQR,NDCI_min,NDCI_max,MCI_valid_pixel_count,MCI_valid_pixel_fraction,MCI_median,MCI_mean,MCI_SD,MCI_IQR,MCI_min,MCI_max,NDCI_diag_above_theoretical_range,NDCI_diag_below_theoretical_range,NDCI_diag_denominator_below_epsilon,NDCI_diag_denominator_nonfinite,NDCI_diag_nonfinite_result,MCI_diag_nonfinite_result,ndci_valid_pixel_count,mci_valid_pixel_count,ndci_has_any_valid_pixel,mci_has_any_valid_pixel,final_valid_pixel_threshold_status
2020-09-15,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-20,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-29,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-12,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,2020,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,2021,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,no_frozen_representative_l2a_product_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
