product_id,product_level,qa_family,band,asset_relative_path,declared_resolution_m,asset_kind,asset_status,band_specific
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,DETFOO,B10,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,DETFOO,B11,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,DETFOO,B12,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,DETFOO,B08A,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,CLDPRB,,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,CLDPRB,,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_CLDPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,SNWPRB,,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_SNWPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,SNWPRB,,GRANULE/L2A_T34VCM_A025473_20200508T101029/QI_DATA/MSK_SNWPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,SCL,,GRANULE/L2A_T34VCM_A025473_20200508T101029/IMG_DATA/R20m/T34VCM_20200508T101031_SCL_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200508T101031_N0500_R022_T34VCM_20230331T174129,L2A,SCL,,GRANULE/L2A_T34VCM_A025473_20200508T101029/IMG_DATA/R60m/T34VCM_20200508T101031_SCL_60m.jp2,60,raster,present,False
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B01,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B02,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B03,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B04,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B05,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B06,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B07,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B08,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B09,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B10,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B11,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B12,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,QUALIT,B08A,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,CLASSI,,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B01,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B02,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B03,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B04,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B05,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B06,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B07,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B08,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B09,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B10,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B11,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B12,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DETFOO,B08A,GRANULE/L1C_T34VCM_A025473_20200508T101029/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,NODATA,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,SATURA,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,DEFECT,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,TECQUA,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,CLOUDS,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,CLDPRB,,,,,absent,
S2A_MSIL1C_20200508T101031_N0500_R022_T34VCM_20230330T224016,L1C,SNWPRB,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B01,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B02,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B03,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B04,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B05,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B06,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B07,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B08,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B09,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B10,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B11,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B12,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,QUALIT,B08A,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,CLASSI,,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B01,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B02,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B03,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B04,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B05,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B06,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B07,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B08,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B09,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B10,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B11,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B12,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DETFOO,B08A,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,NODATA,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,SATURA,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,DEFECT,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,TECQUA,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,CLOUDS,,,,,absent,
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,CLDPRB,,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_CLDPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,CLDPRB,,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_CLDPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,SNWPRB,,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_SNWPRB_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,SNWPRB,,GRANULE/L2A_T34VCM_A025659_20200521T102329/QI_DATA/MSK_SNWPRB_60m.jp2,60,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,SCL,,GRANULE/L2A_T34VCM_A025659_20200521T102329/IMG_DATA/R20m/T34VCM_20200521T102031_SCL_20m.jp2,20,raster,present,False
S2A_MSIL2A_20200521T102031_N0500_R065_T34VCM_20230415T081814,L2A,SCL,,GRANULE/L2A_T34VCM_A025659_20200521T102329/IMG_DATA/R60m/T34VCM_20200521T102031_SCL_60m.jp2,60,raster,present,False
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B01,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B02,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B03,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B04,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B05,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B06,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B07,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B08,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B09,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B10,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B11,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B12,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,QUALIT,B08A,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,CLASSI,,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B01,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B02,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B03,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B04,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B04.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B05,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B05.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B06,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B06.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B07,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B07.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B08,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B08.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B09,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B09.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B10,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B10.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B11,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B11.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B12,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B12.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DETFOO,B08A,GRANULE/L1C_T34VCM_A025659_20200521T102329/QI_DATA/MSK_DETFOO_B8A.jp2,,raster,present,True
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,NODATA,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,SATURA,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,DEFECT,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,TECQUA,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,CLOUDS,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,CLDPRB,,,,,absent,
S2A_MSIL1C_20200521T102031_N0500_R065_T34VCM_20230415T025301,L1C,SNWPRB,,,,,absent,
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B01,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B01.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B02,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B02.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B03,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B03.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B04,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B04.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B05,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B05.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B06,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B06.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B07,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B07.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B08,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B08.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B09,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B09.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B10,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B10.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B11,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B11.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B12,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B12.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,QUALIT,B08A,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_QUALIT_B8A.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,CLASSI,,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_CLASSI_B00.jp2,,raster,present,False
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,DETFOO,B01,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_DETFOO_B01.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,DETFOO,B02,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_DETFOO_B02.jp2,,raster,present,True
S2B_MSIL2A_20200526T101559_N0500_R065_T34VCM_20230504T082505,L2A,DETFOO,B03,GRANULE/L2A_T34VCM_A016822_20200526T101605/QI_DATA/MSK_DETFOO_B03.jp2,,raster,present,True
